Start Date,2015/1/1,
End Date,2017/12/31,
,,
NKY Index,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_LAST,PX_VOLUME
2016/4/5,15732.82,1580774144
2016/4/6,15715.36,1504646656
2016/4/7,15749.84,1459678464
2016/4/8,15821.52,1767876864
2016/4/11,15751.13,1298938112
2016/4/12,15928.79,1470034944
2016/4/13,16381.22,1588092800
2016/4/14,16911.05,1754215296
2016/4/15,16848.03,1332908928
2016/4/18,16275.95,1405745664
2016/4/19,16874.44,1457415680
2016/4/20,16906.54,1439035392
2016/4/21,17363.62,1658525440
2016/4/22,17572.49,2282925824
2016/4/25,17439.3,1716160256
2016/4/26,17353.28,1616024064
2016/4/27,17290.49,1408987008
2016/4/28,16666.05,2330777600
2016/5/2,16147.38,1798741888
2016/5/6,16106.72,1526701440
2016/5/9,16216.03,1187841152
2016/5/10,16565.19,1665010560
2016/5/11,16579.01,1435424512
2016/5/12,16646.34,1387442432
2016/5/13,16412.21,1715832832
2016/5/16,16466.4,1251209344
2016/5/17,16652.8,1176465408
2016/5/18,16644.69,1650558336
2016/5/19,16646.66,1415542144
2016/5/20,16736.35,1263469952
2016/5/23,16654.6,1164683264
2016/5/24,16498.76,1097033984
2016/5/25,16757.35,1074332032
2016/5/26,16772.46,1219648384
2016/5/27,16834.84,1118427008
2016/5/30,17068.02,1002883200
2016/5/31,17234.98,1566797056
2016/6/1,16955.73,1336709760
2016/6/2,16562.55,1427634944
2016/6/3,16642.23,1106336384
2016/6/6,16580.03,1221591808
2016/6/7,16675.45,1090439168
2016/6/8,16830.92,1121110400
2016/6/9,16668.41,1154656256
2016/6/10,16601.36,1549976064
2016/6/13,16019.18,1261788416
2016/6/14,15859,1316932864
2016/6/15,15919.58,1367727744
2016/6/16,15434.14,1542472064
2016/6/17,15599.66,1671723008
2016/6/20,15965.3,1319840512
2016/6/21,16169.11,1208960640
2016/6/22,16065.72,1117115648
2016/6/23,16238.35,1108014592
2016/6/24,14952.02,2629808640
2016/6/27,15309.21,1619250176
2016/6/28,15323.14,1809145344
2016/6/29,15566.83,1473583360
2016/6/30,15575.92,1507293568
2016/7/1,15682.48,1199040640
2016/7/4,15775.8,1085337600
2016/7/5,15669.33,1092102528
2016/7/6,15378.99,1584485888
2016/7/7,15276.24,1272944256
2016/7/8,15106.98,1294759936
2016/7/11,15708.82,1388511872
2016/7/12,16095.65,1850640640
2016/7/13,16231.43,1955764736
2016/7/14,16385.89,1361099264
2016/7/15,16497.85,1718874496
2016/7/19,16723.31,1316354560
2016/7/20,16681.89,1205431296
2016/7/21,16810.22,1347707520
2016/7/22,16627.25,1008359296
2016/7/25,16620.29,1028529216
2016/7/26,16383.04,1294416000
2016/7/27,16664.82,1555331456
2016/7/28,16476.84,1263987456
2016/7/29,16569.27,2345643776
2016/8/1,16635.77,1741394432
2016/8/2,16391.45,1319496320
2016/8/3,16083.11,1553633536
2016/8/4,16254.89,1600004736
2016/8/5,16254.45,1293738240
2016/8/8,16650.57,1415932800
2016/8/9,16764.97,1275349120
2016/8/10,16735.12,1137536256
2016/8/12,16919.92,1191199104
2016/8/15,16869.56,837237696
2016/8/16,16596.51,1100296192
2016/8/17,16745.64,1174057088
2016/8/18,16486.01,1304409088
2016/8/19,16545.82,1218654336
2016/8/22,16598.19,952953600
2016/8/23,16497.36,1075619200
2016/8/24,16597.3,911062016
2016/8/25,16555.95,929037120
2016/8/26,16360.71,1046418624
2016/8/29,16737.49,1139114112
2016/8/30,16725.36,1037439296
2016/8/31,16887.4,1502896128
2016/9/1,16926.84,1314819072
2016/9/2,16925.68,1161740160
2016/9/5,17037.63,1274213632
2016/9/6,17081.98,1082843520
2016/9/7,17012.44,1324775296
2016/9/8,16958.77,1112661248
2016/9/9,16965.76,1239161856
2016/9/12,16672.92,1127788288
2016/9/13,16729.04,982281792
2016/9/14,16614.24,1162843648
2016/9/15,16405.01,1178319744
2016/9/16,16519.29,1271304448
2016/9/20,16492.15,1214978944
2016/9/21,16807.62,1911079040
2016/9/23,16754.02,1379554176
2016/9/26,16544.56,1028528000
2016/9/27,16683.93,1570779392
2016/9/28,16465.4,1122356480
2016/9/29,16693.71,1227307008
2016/9/30,16449.84,1243705088
2016/10/3,16598.67,992129472
2016/10/4,16735.65,1003096320
2016/10/5,16819.24,1150780416
2016/10/6,16899.1,1105531648
2016/10/7,16860.09,1003112512
2016/10/11,17024.76,1115804160
2016/10/12,16840,1162963840
2016/10/13,16774.24,1110596352
2016/10/14,16856.37,1094052608
2016/10/17,16900.12,951278912
2016/10/18,16963.61,986431680
2016/10/19,16998.91,1016683712
2016/10/20,17235.5,1123954048
2016/10/21,17184.59,1141521152
2016/10/24,17234.42,877176320
2016/10/25,17365.25,1084033664
2016/10/26,17391.84,980810880
2016/10/27,17336.42,1076370816
2016/10/28,17446.41,1678595584
2016/10/31,17425.02,1571700608
2016/11/1,17442.4,1230430720
2016/11/2,17134.68,1352030592
2016/11/4,16905.36,1348328960
2016/11/7,17177.21,1130236672
2016/11/8,17171.38,1031117504
2016/11/9,16251.54,2749029120
2016/11/10,17344.42,2293799424
2016/11/11,17374.79,2492696320
2016/11/14,17672.62,1653092480
2016/11/15,17668.15,1731506560
2016/11/16,17862.21,2002744960
2016/11/17,17862.63,1611481728
2016/11/18,17967.41,1668197248
2016/11/21,18106.02,1357269504
2016/11/22,18162.94,1218798464
2016/11/24,18333.41,1494012032
2016/11/25,18381.22,1648925696
2016/11/28,18356.89,1450266112
2016/11/29,18307.04,1256381952
2016/11/30,18308.48,1646889344
2016/12/1,18513.12,1879848832
2016/12/2,18426.08,1971558784
2016/12/5,18274.99,1344575232
2016/12/6,18360.54,1587506176
2016/12/7,18496.69,1564164864
2016/12/8,18765.47,1873889024
2016/12/9,18996.37,2189419008
2016/12/12,19155.03,2005633792
2016/12/13,19250.52,1475558656
2016/12/14,19253.61,1331824768
2016/12/15,19273.79,1546187008
2016/12/16,19401.15,1532834816
2016/12/19,19391.6,1092511360
2016/12/20,19494.53,1232955136
2016/12/21,19444.49,1302799360
2016/12/22,19427.67,1169520512
2016/12/26,19396.64,854912896
2016/12/27,19403.06,1135623296
2016/12/28,19401.72,801370816
2016/12/29,19145.14,1685861504
2016/12/30,19114.37,1213979264
2017/1/4,19594.16,1685608064
2017/1/5,19520.69,1386838528
2017/1/6,19454.33,1228331648
2017/1/10,19301.44,1174618880
2017/1/11,19364.67,1267833856
2017/1/12,19134.7,1253533312
2017/1/13,19287.28,994187776
2017/1/16,19095.24,860578688
2017/1/17,18813.53,1095175936
2017/1/18,18894.37,1234038144
2017/1/19,19072.25,1705949568
2017/1/20,19137.91,1257591424
2017/1/23,18891.03,1248183296
2017/1/24,18787.99,1315307136
2017/1/25,19057.5,1253824384
2017/1/26,19402.39,1451816064
2017/1/27,19467.4,1346272896
2017/1/30,19368.85,978026496
2017/1/31,19041.34,1339248128
2017/2/1,19148.08,1314823680
2017/2/2,18914.58,1365221376
2017/2/3,18918.2,1409428480
2017/2/6,18976.71,1204599808
2017/2/7,18910.78,1061317888
2017/2/8,19007.6,1028537792
2017/2/9,18907.67,1304574208
2017/2/10,19378.93,1493947648
2017/2/13,19459.15,1178644480
2017/2/14,19238.98,1428299648
2017/2/15,19437.98,1427865344
2017/2/16,19347.53,1377753344
2017/2/17,19234.62,1436176000
2017/2/20,19251.08,989090688
2017/2/21,19381.44,1006882688
2017/2/22,19379.87,1567167872
2017/2/23,19371.46,1408282752
2017/2/24,19283.54,1488609024
2017/2/27,19107.47,1241817984
2017/2/28,19118.99,1328719872
2017/3/1,19393.54,1323280256
2017/3/2,19564.8,1462325760
2017/3/3,19469.17,1109548160
2017/3/6,19379.14,880225792
2017/3/7,19344.15,987811008
2017/3/8,19254.03,1032329088
2017/3/9,19318.58,1010884416
2017/3/10,19604.61,1553374080
2017/3/13,19633.75,926135104
2017/3/14,19609.5,1232643968
2017/3/15,19577.38,1156677632
2017/3/16,19590.14,1224831360
2017/3/17,19521.59,1371074560
2017/3/21,19455.88,1016682496
2017/3/22,19041.38,1365868416
2017/3/23,19085.31,1210210944
2017/3/24,19262.53,1276604672
2017/3/27,18985.59,1208281728
2017/3/28,19202.87,1223399680
2017/3/29,19217.48,1150771584
2017/3/30,19063.22,1245041152
2017/3/31,18909.26,1491619072
2017/4/3,18983.23,1341845760
2017/4/4,18810.25,1469115648
2017/4/5,18861.27,1216084224
2017/4/6,18597.06,1336046336
2017/4/7,18664.63,1615990656
2017/4/10,18797.88,1112951680
2017/4/11,18747.87,1082709120
2017/4/12,18552.61,1199323648
2017/4/13,18426.84,1274806272
2017/4/14,18335.63,1191122432
2017/4/17,18355.26,891285504
2017/4/18,18418.59,961993600
2017/4/19,18432.2,1245202688
2017/4/20,18430.49,1204995584
2017/4/21,18620.75,1166996224
2017/4/24,18875.88,1010528768
2017/4/25,19079.33,1216764544
2017/4/26,19289.43,1334327040
2017/4/27,19251.87,1203225856
2017/4/28,19196.74,1214217856
2017/5/1,19310.52,1098132608
2017/5/2,19445.7,1161529344
2017/5/8,19895.7,1532764800
2017/5/9,19843,1272996480
2017/5/10,19900.09,1329949952
2017/5/11,19961.55,1406245760
2017/5/12,19883.9,1410499840
2017/5/15,19869.85,1323152768
2017/5/16,19919.82,1352156800
2017/5/17,19814.88,1217897728
2017/5/18,19553.86,1399495680
2017/5/19,19590.76,1191803136
2017/5/22,19678.28,808622208
2017/5/23,19613.28,859794176
2017/5/24,19742.98,1044233024
2017/5/25,19813.13,979882688
2017/5/26,19686.84,870740928
2017/5/29,19682.57,693750720
2017/5/30,19677.85,748028480
2017/5/31,19650.57,1289972352
2017/6/1,19860.03,1067473792
2017/6/2,20177.28,1549882752
2017/6/5,20170.82,1021955328
2017/6/6,19979.9,1052164096
2017/6/7,19984.62,1023345280
2017/6/8,19909.26,1291501056
2017/6/9,20013.26,1498118272
2017/6/12,19908.58,1155926656
2017/6/13,19898.75,1001636416
2017/6/14,19883.52,957588224
2017/6/15,19831.82,1102537984
2017/6/16,19943.26,1395219840
2017/6/19,20067.75,822327680
2017/6/20,20230.41,1023650816
2017/6/21,20138.79,977758784
2017/6/22,20110.51,872108608
2017/6/23,20132.67,829785792
2017/6/26,20153.35,793881792
2017/6/27,20225.09,930624000
2017/6/28,20130.41,1191298816
2017/6/29,20220.3,1225410048
2017/6/30,20033.43,1202230656
2017/7/3,20055.8,859512000
2017/7/4,20032.35,1034215104
2017/7/5,20081.63,974518016
2017/7/6,19994.06,955811200
2017/7/7,19929.09,946998592
2017/7/10,20080.98,883710720
2017/7/11,20195.48,796979072
2017/7/12,20098.38,839361216
2017/7/13,20099.81,932863232
2017/7/14,20118.86,857019776
2017/7/18,19999.91,963166400
2017/7/19,20020.86,837017728
2017/7/20,20144.59,833197568
2017/7/21,20099.75,810924096
2017/7/24,19975.67,837927680
2017/7/25,19955.2,723423296
2017/7/26,20050.16,880739904
2017/7/27,20079.64,926966976
2017/7/28,19959.84,1118784640
2017/7/31,19925.18,1446448512
2017/8/1,19985.79,1134555136
2017/8/2,20080.04,986340608
2017/8/3,20029.26,921118208
2017/8/4,19952.33,789019072
2017/8/7,20055.89,776311808
2017/8/8,19996.01,829087808
2017/8/9,19738.71,1076115072
2017/8/10,19729.74,1073688832
2017/8/14,19537.1,1115644544
2017/8/15,19753.31,930709120
2017/8/16,19729.28,715409280
2017/8/17,19702.63,741016704
2017/8/18,19470.41,986829888
2017/8/21,19393.13,776361088
2017/8/22,19383.84,726902912
2017/8/23,19434.64,809469120
2017/8/24,19353.77,777391872
2017/8/25,19452.61,728558976
2017/8/28,19449.9,715935104
2017/8/29,19362.55,772639872
2017/8/30,19506.54,945912576
2017/8/31,19646.24,1008959296
2017/9/1,19691.47,819092224
2017/9/4,19508.25,738559808
2017/9/5,19385.81,800235328
2017/9/6,19357.97,911729920
2017/9/7,19396.52,843691072
2017/9/8,19274.82,1099200384
2017/9/11,19545.77,811395520
2017/9/12,19776.62,926539008
2017/9/13,19865.82,871092992
2017/9/14,19807.44,966184704
2017/9/15,19909.5,1154423936
2017/9/19,20299.38,1246056448
2017/9/20,20310.46,1035102016
2017/9/21,20347.48,1194948992
2017/9/22,20296.45,984155200
2017/9/25,20397.58,854463424
2017/9/26,20330.19,978611200
2017/9/27,20267.05,655942976
2017/9/28,20363.11,865996224
2017/9/29,20356.28,876679296
2017/10/2,20400.78,697044608
2017/10/3,20614.07,749774720
2017/10/4,20626.66,758476672
2017/10/5,20628.56,590570624
2017/10/6,20690.71,781866368
2017/10/10,20823.51,807148480
2017/10/11,20881.27,826589120
2017/10/12,20954.72,828761984
2017/10/13,21155.18,1138877184
2017/10/16,21255.56,1055212032
2017/10/17,21336.12,953061632
2017/10/18,21363.05,749495424
2017/10/19,21448.52,872212416
2017/10/20,21457.64,883841728
2017/10/23,21696.65,901470208
2017/10/24,21805.17,909352000
2017/10/25,21707.62,1258339712
2017/10/26,21739.78,851784320
2017/10/27,22008.45,1241389952
2017/10/30,22011.67,1397960064
2017/10/31,22011.61,1055801728
2017/11/1,22420.08,1161164672
2017/11/2,22539.12,1090254976
2017/11/6,22548.35,1153798144
2017/11/7,22937.6,1110909952
2017/11/8,22913.82,1033253376
2017/11/9,22868.71,1653871488
2017/11/10,22681.42,1099322624
2017/11/13,22380.99,831861696
2017/11/14,22380.01,989454592
2017/11/15,22028.32,1243248128
2017/11/16,22351.12,995953088
2017/11/17,22396.8,1171643008
2017/11/20,22261.76,738958272
2017/11/21,22416.48,785021504
2017/11/22,22523.15,835589632
2017/11/24,22550.85,667527872
2017/11/27,22495.99,687224512
2017/11/28,22486.24,791603200
2017/11/29,22597.2,935379328
2017/11/30,22724.96,1450609024
2017/12/1,22819.03,924742784
2017/12/4,22707.16,710485120
2017/12/5,22622.38,781761984
2017/12/6,22177.04,1003206016
2017/12/7,22498.03,820303616
2017/12/8,22811.08,1101709440
2017/12/11,22938.73,716034880
2017/12/12,22866.17,888235008
2017/12/13,22758.07,941915520
2017/12/14,22694.45,876577280
2017/12/15,22553.22,1025281728
2017/12/18,22901.77,878113216
2017/12/19,22868,726761728
2017/12/20,22891.72,952698368
2017/12/21,22866.1,753326720
2017/12/22,22902.76,802245312
2017/12/25,22939.18,444477696
2017/12/26,22892.69,477844192
2017/12/27,22911.21,487441408
2017/12/28,22783.98,519036992
2017/12/29,22764.94,478722304
